Prod Name,Color,Rating,Price,RAM,Screen,Rear Camera,Front Camera,Memory,Battery,Processor
"Redmi 9 Prime ( 64GB , 4 GB )",Blue,4.5,10799,4 GB,16.51 cm (6.5),13MP+8MP+2MP,8 MP,64GB,5020,Octa
"itel A25 pro ( 32GB , 2 GB )",Purple,4.0,5599,2 GB,12.7 cm (5),5 MP,2 MP,32GB,3020,Quad
"Redmi Note 9 ( 128GB , 4 GB )",Green,4.0,14499,4 GB,16.51 cm (6.5),48 MP,13 MP,128GB,5020,Octa
"Blackberry ( 16GB , 2 GB )",Black,3.4,6999,2GB,12.7 cm (5),8 MP,2MP to 4.9MP,16GB,2800,Dual
"Redmi Note 9 ( 64GB , 4 GB )",Grey,4.4,13999,4 GB,16.51 cm (6.5),48MP+8MP+2MP+2MP,13 MP,64GB,5020 mAh,Octa
"YU Yu5012 ( 16GB , 3 GB )",Champagne,3.3,6899,3 GB,12.7 cm (5),13 MP,5 MP,16GB,2500,Quad
"Lava Z61 PRO ( 16GB , 2 GB )",Blue,4.6,5999,2 GB,13.716 cm (5.4),8 MP,5 MP,16GB,3100,Octa
"Samsung Galaxy M01s ( 32GB , 3 GB )",Grey,3.0,9100,3 GB,15.74 cm (6.2),8 MP,13 MP,32GB,4000,Octa
"OPPO MOBILE OPPO A5S ( 64GB , 4 GB )",Green,Currently Unavailable,11990,4 GB,15.74 cm (6.2),13 MP,8 MP,64GB,4230,Octa
"Redmi 8 ( 64GB , 4 GB )",Black,4.2,10999,4 GB,15.74 cm (6.2),12 MP,12 MP,64GB,5000,Octa
"Lava Z61 PRO ( 16GB , 2 GB )",Gold,4.6,5899,2 GB,13.716 cm (5.4),8 MP,5 MP,16GB,3100,Octa
"Micromax Canvas Infinity HS2 ( 32GB , 3 GB )",Black,Currently Unavailable,6940,3 GB,14.478 cm (5.7),13 MP,16 MP,32GB,2900,Quad
"Redmi 9i ( 128GB , 4 GB )",Green,3.5,10499,4 GB,16.51 cm (6.5),13 MP,5 MP,128GB,5000,Octa
"MI Mix 2 ( 128GB , 6 GB )",Black,4.0,18499,6 GB,15.24 cm (6),12 MP,5 MP,128GB,3400,Octa
"TECNO Spark Go 2020 ( 32GB , 2 GB )",Blue,5.0,7499,2 GB,16.4 cm (6.44),13MP+2MP,8 MP,32GB,5000,Quad
